ID,Pop,SuperPop
HG02580,ACB,AFR
NA19625,ASW,AFR
NA19700,ASW,AFR
NA19701,ASW,AFR
NA19703,ASW,AFR
NA19704,ASW,AFR
NA19707,ASW,AFR
NA19711,ASW,AFR
NA19712,ASW,AFR
NA19713,ASW,AFR
NA19818,ASW,AFR
NA19819,ASW,AFR
NA19834,ASW,AFR
NA19835,ASW,AFR
NA19900,ASW,AFR
NA19901,ASW,AFR
NA19904,ASW,AFR
NA19908,ASW,AFR
NA19909,ASW,AFR
NA19913,ASW,AFR
NA19914,ASW,AFR
NA19916,ASW,AFR
NA19917,ASW,AFR
NA19920,ASW,AFR
NA19921,ASW,AFR
NA19922,ASW,AFR
NA19923,ASW,AFR
NA19982,ASW,AFR
NA19984,ASW,AFR
NA20126,ASW,AFR
NA20127,ASW,AFR
NA20274,ASW,AFR
NA20276,ASW,AFR
NA20278,ASW,AFR
NA20281,ASW,AFR
NA20282,ASW,AFR
NA20287,ASW,AFR
NA20289,ASW,AFR
NA20291,ASW,AFR
NA20294,ASW,AFR
NA20296,ASW,AFR
NA20298,ASW,AFR
NA20299,ASW,AFR
NA20314,ASW,AFR
NA20317,ASW,AFR
NA20318,ASW,AFR
NA20320,ASW,AFR
NA20321,ASW,AFR
NA20332,ASW,AFR
NA20334,ASW,AFR
NA20339,ASW,AFR
NA20340,ASW,AFR
NA20342,ASW,AFR
NA20346,ASW,AFR
NA20348,ASW,AFR
NA20351,ASW,AFR
NA20355,ASW,AFR
NA20356,ASW,AFR
NA20357,ASW,AFR
NA20359,ASW,AFR
NA20362,ASW,AFR
NA20412,ASW,AFR
HG02922,ESN,AFR
HG02923,ESN,AFR
HG02938,ESN,AFR
HG02941,ESN,AFR
HG02943,ESN,AFR
HG02944,ESN,AFR
HG02946,ESN,AFR
HG02947,ESN,AFR
HG02952,ESN,AFR
HG02953,ESN,AFR
HG02968,ESN,AFR
HG02970,ESN,AFR
HG02971,ESN,AFR
HG02973,ESN,AFR
HG02974,ESN,AFR
HG02976,ESN,AFR
HG02977,ESN,AFR
HG02979,ESN,AFR
HG02981,ESN,AFR
HG03099,ESN,AFR
HG03100,ESN,AFR
HG03103,ESN,AFR
HG03105,ESN,AFR
HG03108,ESN,AFR
HG03109,ESN,AFR
HG03111,ESN,AFR
HG03112,ESN,AFR
HG03114,ESN,AFR
HG03115,ESN,AFR
HG03117,ESN,AFR
HG03118,ESN,AFR
HG03120,ESN,AFR
HG03121,ESN,AFR
HG03123,ESN,AFR
HG03124,ESN,AFR
HG03126,ESN,AFR
HG03127,ESN,AFR
HG03129,ESN,AFR
HG03130,ESN,AFR
HG03132,ESN,AFR
HG03133,ESN,AFR
HG03135,ESN,AFR
HG03136,ESN,AFR
HG03139,ESN,AFR
HG03157,ESN,AFR
HG03159,ESN,AFR
HG03160,ESN,AFR
HG03162,ESN,AFR
HG03163,ESN,AFR
HG03166,ESN,AFR
HG03168,ESN,AFR
HG03169,ESN,AFR
HG03172,ESN,AFR
HG03175,ESN,AFR
HG03189,ESN,AFR
HG03190,ESN,AFR
HG03193,ESN,AFR
HG03195,ESN,AFR
HG03196,ESN,AFR
HG03198,ESN,AFR
HG03199,ESN,AFR
HG03202,ESN,AFR
HG03265,ESN,AFR
HG03267,ESN,AFR
HG03268,ESN,AFR
HG03270,ESN,AFR
HG03271,ESN,AFR
HG03279,ESN,AFR
HG03280,ESN,AFR
HG03291,ESN,AFR
HG03294,ESN,AFR
HG03295,ESN,AFR
HG03297,ESN,AFR
HG03298,ESN,AFR
HG03300,ESN,AFR
HG03301,ESN,AFR
HG03303,ESN,AFR
HG03304,ESN,AFR
HG03311,ESN,AFR
HG03313,ESN,AFR
HG03342,ESN,AFR
HG03343,ESN,AFR
HG03351,ESN,AFR
HG03352,ESN,AFR
HG03354,ESN,AFR
HG03363,ESN,AFR
HG03366,ESN,AFR
HG03367,ESN,AFR
HG03369,ESN,AFR
HG03370,ESN,AFR
HG03372,ESN,AFR
HG03499,ESN,AFR
HG03511,ESN,AFR
HG03514,ESN,AFR
HG03515,ESN,AFR
HG03517,ESN,AFR
HG03518,ESN,AFR
HG03520,ESN,AFR
HG03521,ESN,AFR
HG02461,GWD,AFR
HG02462,GWD,AFR
HG02464,GWD,AFR
HG02465,GWD,AFR
HG02561,GWD,AFR
HG02562,GWD,AFR
HG02568,GWD,AFR
HG02570,GWD,AFR
HG02571,GWD,AFR
HG02573,GWD,AFR
HG02574,GWD,AFR
HG02582,GWD,AFR
HG02583,GWD,AFR
HG02585,GWD,AFR
HG02586,GWD,AFR
HG02588,GWD,AFR
HG02589,GWD,AFR
HG02594,GWD,AFR
HG02595,GWD,AFR
HG02610,GWD,AFR
HG02611,GWD,AFR
HG02613,GWD,AFR
HG02614,GWD,AFR
HG02620,GWD,AFR
HG02621,GWD,AFR
HG02623,GWD,AFR
HG02624,GWD,AFR
HG02628,GWD,AFR
HG02629,GWD,AFR
HG02634,GWD,AFR
HG02635,GWD,AFR
HG02642,GWD,AFR
HG02643,GWD,AFR
HG02645,GWD,AFR
HG02646,GWD,AFR
HG02666,GWD,AFR
HG02667,GWD,AFR
HG02675,GWD,AFR
HG02676,GWD,AFR
HG02678,GWD,AFR
HG02679,GWD,AFR
HG02702,GWD,AFR
HG02703,GWD,AFR
HG02715,GWD,AFR
HG02716,GWD,AFR
HG02721,GWD,AFR
HG02722,GWD,AFR
HG02756,GWD,AFR
HG02757,GWD,AFR
HG02759,GWD,AFR
HG02760,GWD,AFR
HG02763,GWD,AFR
HG02768,GWD,AFR
HG02769,GWD,AFR
HG02771,GWD,AFR
HG02772,GWD,AFR
HG02798,GWD,AFR
HG02799,GWD,AFR
HG02804,GWD,AFR
HG02805,GWD,AFR
HG02807,GWD,AFR
HG02808,GWD,AFR
HG02810,GWD,AFR
HG02811,GWD,AFR
HG02813,GWD,AFR
HG02814,GWD,AFR
HG02816,GWD,AFR
HG02817,GWD,AFR
HG02819,GWD,AFR
HG02820,GWD,AFR
HG02836,GWD,AFR
HG02837,GWD,AFR
HG02839,GWD,AFR
HG02840,GWD,AFR
HG02851,GWD,AFR
HG02852,GWD,AFR
HG02854,GWD,AFR
HG02855,GWD,AFR
HG02860,GWD,AFR
HG02861,GWD,AFR
HG02870,GWD,AFR
HG02878,GWD,AFR
HG02879,GWD,AFR
HG02881,GWD,AFR
HG02882,GWD,AFR
HG02884,GWD,AFR
HG02885,GWD,AFR
HG02887,GWD,AFR
HG02888,GWD,AFR
HG02890,GWD,AFR
HG02891,GWD,AFR
HG02895,GWD,AFR
HG02896,GWD,AFR
HG02982,GWD,AFR
HG02983,GWD,AFR
HG03024,GWD,AFR
HG03025,GWD,AFR
HG03027,GWD,AFR
HG03028,GWD,AFR
HG03039,GWD,AFR
HG03040,GWD,AFR
HG03045,GWD,AFR
HG03046,GWD,AFR
HG03048,GWD,AFR
HG03049,GWD,AFR
HG03240,GWD,AFR
HG03241,GWD,AFR
HG03246,GWD,AFR
HG03247,GWD,AFR
HG03258,GWD,AFR
HG03259,GWD,AFR
HG03538,GWD,AFR
HG03539,GWD,AFR
NA19017,LWK,AFR
NA19019,LWK,AFR
NA19020,LWK,AFR
NA19023,LWK,AFR
NA19024,LWK,AFR
NA19025,LWK,AFR
NA19026,LWK,AFR
NA19027,LWK,AFR
NA19028,LWK,AFR
NA19030,LWK,AFR
NA19031,LWK,AFR
NA19035,LWK,AFR
NA19036,LWK,AFR
NA19037,LWK,AFR
NA19038,LWK,AFR
NA19041,LWK,AFR
NA19042,LWK,AFR
NA19043,LWK,AFR
NA19307,LWK,AFR
NA19308,LWK,AFR
NA19309,LWK,AFR
NA19310,LWK,AFR
NA19312,LWK,AFR
NA19314,LWK,AFR
NA19315,LWK,AFR
NA19316,LWK,AFR
NA19317,LWK,AFR
NA19318,LWK,AFR
NA19319,LWK,AFR
NA19320,LWK,AFR
NA19321,LWK,AFR
NA19323,LWK,AFR
NA19324,LWK,AFR
NA19327,LWK,AFR
NA19328,LWK,AFR
NA19331,LWK,AFR
NA19332,LWK,AFR
NA19334,LWK,AFR
NA19338,LWK,AFR
NA19346,LWK,AFR
NA19347,LWK,AFR
NA19350,LWK,AFR
NA19351,LWK,AFR
NA19355,LWK,AFR
NA19360,LWK,AFR
NA19372,LWK,AFR
NA19374,LWK,AFR
NA19375,LWK,AFR
NA19376,LWK,AFR
NA19377,LWK,AFR
NA19378,LWK,AFR
NA19379,LWK,AFR
NA19380,LWK,AFR
NA19383,LWK,AFR
NA19384,LWK,AFR
NA19385,LWK,AFR
NA19390,LWK,AFR
NA19391,LWK,AFR
NA19393,LWK,AFR
NA19394,LWK,AFR
NA19395,LWK,AFR
NA19397,LWK,AFR
NA19399,LWK,AFR
NA19401,LWK,AFR
NA19403,LWK,AFR
NA19404,LWK,AFR
NA19428,LWK,AFR
NA19429,LWK,AFR
NA19430,LWK,AFR
NA19431,LWK,AFR
NA19434,LWK,AFR
NA19435,LWK,AFR
NA19436,LWK,AFR
NA19437,LWK,AFR
NA19438,LWK,AFR
NA19439,LWK,AFR
NA19440,LWK,AFR
NA19443,LWK,AFR
NA19445,LWK,AFR
NA19446,LWK,AFR
NA19448,LWK,AFR
NA19449,LWK,AFR
NA19451,LWK,AFR
NA19452,LWK,AFR
NA19454,LWK,AFR
NA19455,LWK,AFR
NA19456,LWK,AFR
NA19457,LWK,AFR
NA19461,LWK,AFR
NA19462,LWK,AFR
NA19463,LWK,AFR
NA19466,LWK,AFR
NA19467,LWK,AFR
NA19468,LWK,AFR
NA19471,LWK,AFR
NA19472,LWK,AFR
NA19473,LWK,AFR
NA19474,LWK,AFR
NA19475,LWK,AFR
HG03052,MSL,AFR
HG03054,MSL,AFR
HG03055,MSL,AFR
HG03057,MSL,AFR
HG03058,MSL,AFR
HG03060,MSL,AFR
HG03061,MSL,AFR
HG03063,MSL,AFR
HG03064,MSL,AFR
HG03066,MSL,AFR
HG03069,MSL,AFR
HG03072,MSL,AFR
HG03073,MSL,AFR
HG03074,MSL,AFR
HG03077,MSL,AFR
HG03078,MSL,AFR
HG03079,MSL,AFR
HG03081,MSL,AFR
HG03082,MSL,AFR
HG03084,MSL,AFR
HG03085,MSL,AFR
HG03086,MSL,AFR
HG03088,MSL,AFR
HG03091,MSL,AFR
HG03095,MSL,AFR
HG03096,MSL,AFR
HG03097,MSL,AFR
HG03209,MSL,AFR
HG03212,MSL,AFR
HG03224,MSL,AFR
HG03225,MSL,AFR
HG03376,MSL,AFR
HG03378,MSL,AFR
HG03380,MSL,AFR
HG03382,MSL,AFR
HG03385,MSL,AFR
HG03388,MSL,AFR
HG03391,MSL,AFR
HG03394,MSL,AFR
HG03397,MSL,AFR
HG03401,MSL,AFR
HG03410,MSL,AFR
HG03419,MSL,AFR
HG03428,MSL,AFR
HG03432,MSL,AFR
HG03433,MSL,AFR
HG03436,MSL,AFR
HG03437,MSL,AFR
HG03439,MSL,AFR
HG03442,MSL,AFR
HG03445,MSL,AFR
HG03446,MSL,AFR
HG03449,MSL,AFR
HG03451,MSL,AFR
HG03452,MSL,AFR
HG03455,MSL,AFR
HG03457,MSL,AFR
HG03458,MSL,AFR
HG03460,MSL,AFR
HG03461,MSL,AFR
HG03464,MSL,AFR
HG03469,MSL,AFR
HG03470,MSL,AFR
HG03472,MSL,AFR
HG03473,MSL,AFR
HG03476,MSL,AFR
HG03478,MSL,AFR
HG03479,MSL,AFR
HG03484,MSL,AFR
HG03485,MSL,AFR
HG03547,MSL,AFR
HG03548,MSL,AFR
HG03556,MSL,AFR
HG03557,MSL,AFR
HG03558,MSL,AFR
HG03559,MSL,AFR
HG03563,MSL,AFR
HG03565,MSL,AFR
HG03567,MSL,AFR
HG03571,MSL,AFR
HG03572,MSL,AFR
HG03575,MSL,AFR
HG03577,MSL,AFR
HG03578,MSL,AFR
HG03583,MSL,AFR
NA18486,YRI,AFR
NA18488,YRI,AFR
NA18489,YRI,AFR
NA18498,YRI,AFR
NA18499,YRI,AFR
NA18501,YRI,AFR
NA18502,YRI,AFR
NA18504,YRI,AFR
NA18505,YRI,AFR
NA18507,YRI,AFR
NA18508,YRI,AFR
NA18510,YRI,AFR
NA18511,YRI,AFR
NA18516,YRI,AFR
NA18517,YRI,AFR
NA18519,YRI,AFR
NA18520,YRI,AFR
NA18522,YRI,AFR
NA18523,YRI,AFR
NA18853,YRI,AFR
NA18856,YRI,AFR
NA18858,YRI,AFR
NA18861,YRI,AFR
NA18864,YRI,AFR
NA18865,YRI,AFR
NA18867,YRI,AFR
NA18868,YRI,AFR
NA18870,YRI,AFR
NA18871,YRI,AFR
NA18873,YRI,AFR
NA18874,YRI,AFR
NA18876,YRI,AFR
NA18877,YRI,AFR
NA18878,YRI,AFR
NA18879,YRI,AFR
NA18881,YRI,AFR
NA18907,YRI,AFR
NA18908,YRI,AFR
NA18909,YRI,AFR
NA18910,YRI,AFR
NA18912,YRI,AFR
NA18915,YRI,AFR
NA18916,YRI,AFR
NA18917,YRI,AFR
NA18923,YRI,AFR
NA18924,YRI,AFR
NA18933,YRI,AFR
NA18934,YRI,AFR
NA19092,YRI,AFR
NA19093,YRI,AFR
NA19095,YRI,AFR
NA19096,YRI,AFR
NA19098,YRI,AFR
NA19099,YRI,AFR
NA19102,YRI,AFR
NA19107,YRI,AFR
NA19108,YRI,AFR
NA19113,YRI,AFR
NA19114,YRI,AFR
NA19116,YRI,AFR
NA19117,YRI,AFR
NA19118,YRI,AFR
NA19119,YRI,AFR
NA19121,YRI,AFR
NA19129,YRI,AFR
NA19130,YRI,AFR
NA19131,YRI,AFR
NA19137,YRI,AFR
NA19138,YRI,AFR
NA19141,YRI,AFR
NA19143,YRI,AFR
NA19144,YRI,AFR
NA19146,YRI,AFR
NA19147,YRI,AFR
NA19149,YRI,AFR
NA19152,YRI,AFR
NA19153,YRI,AFR
NA19159,YRI,AFR
NA19160,YRI,AFR
NA19171,YRI,AFR
NA19172,YRI,AFR
NA19175,YRI,AFR
NA19184,YRI,AFR
NA19185,YRI,AFR
NA19189,YRI,AFR
NA19190,YRI,AFR
NA19197,YRI,AFR
NA19198,YRI,AFR
NA19200,YRI,AFR
NA19201,YRI,AFR
NA19204,YRI,AFR
NA19206,YRI,AFR
NA19207,YRI,AFR
NA19209,YRI,AFR
NA19210,YRI,AFR
NA19213,YRI,AFR
NA19214,YRI,AFR
NA19222,YRI,AFR
NA19223,YRI,AFR
NA19225,YRI,AFR
NA19235,YRI,AFR
NA19236,YRI,AFR
NA19238,YRI,AFR
NA19239,YRI,AFR
NA19247,YRI,AFR
NA19248,YRI,AFR
NA19256,YRI,AFR
NA19257,YRI,AFR
HG01112,CLM,AMR
HG01113,CLM,AMR
HG01119,CLM,AMR
HG01121,CLM,AMR
HG01122,CLM,AMR
HG01124,CLM,AMR
HG01125,CLM,AMR
HG01130,CLM,AMR
HG01131,CLM,AMR
HG01133,CLM,AMR
HG01134,CLM,AMR
HG01136,CLM,AMR
HG01137,CLM,AMR
HG01139,CLM,AMR
HG01140,CLM,AMR
HG01142,CLM,AMR
HG01148,CLM,AMR
HG01149,CLM,AMR
HG01250,CLM,AMR
HG01251,CLM,AMR
HG01253,CLM,AMR
HG01254,CLM,AMR
HG01256,CLM,AMR
HG01257,CLM,AMR
HG01259,CLM,AMR
HG01260,CLM,AMR
HG01269,CLM,AMR
HG01271,CLM,AMR
HG01272,CLM,AMR
HG01275,CLM,AMR
HG01277,CLM,AMR
HG01280,CLM,AMR
HG01281,CLM,AMR
HG01284,CLM,AMR
HG01341,CLM,AMR
HG01342,CLM,AMR
HG01344,CLM,AMR
HG01345,CLM,AMR
HG01348,CLM,AMR
HG01350,CLM,AMR
HG01351,CLM,AMR
HG01353,CLM,AMR
HG01354,CLM,AMR
HG01356,CLM,AMR
HG01357,CLM,AMR
HG01359,CLM,AMR
HG01360,CLM,AMR
HG01362,CLM,AMR
HG01363,CLM,AMR
HG01365,CLM,AMR
HG01366,CLM,AMR
HG01369,CLM,AMR
HG01372,CLM,AMR
HG01374,CLM,AMR
HG01375,CLM,AMR
HG01377,CLM,AMR
HG01378,CLM,AMR
HG01383,CLM,AMR
HG01384,CLM,AMR
HG01389,CLM,AMR
HG01390,CLM,AMR
HG01431,CLM,AMR
HG01432,CLM,AMR
HG01435,CLM,AMR
HG01437,CLM,AMR
HG01438,CLM,AMR
HG01440,CLM,AMR
HG01441,CLM,AMR
HG01443,CLM,AMR
HG01444,CLM,AMR
HG01447,CLM,AMR
HG01455,CLM,AMR
HG01456,CLM,AMR
HG01459,CLM,AMR
HG01461,CLM,AMR
HG01462,CLM,AMR
HG01464,CLM,AMR
HG01465,CLM,AMR
HG01468,CLM,AMR
HG01474,CLM,AMR
HG01479,CLM,AMR
HG01485,CLM,AMR
HG01486,CLM,AMR
HG01488,CLM,AMR
HG01489,CLM,AMR
HG01491,CLM,AMR
HG01492,CLM,AMR
HG01494,CLM,AMR
HG01495,CLM,AMR
HG01497,CLM,AMR
HG01498,CLM,AMR
HG01550,CLM,AMR
HG01551,CLM,AMR
HG01556,CLM,AMR
NA19648,MXL,AMR
NA19649,MXL,AMR
NA19651,MXL,AMR
NA19652,MXL,AMR
NA19654,MXL,AMR
NA19655,MXL,AMR
NA19657,MXL,AMR
NA19658,MXL,AMR
NA19661,MXL,AMR
NA19663,MXL,AMR
NA19664,MXL,AMR
NA19669,MXL,AMR
NA19670,MXL,AMR
NA19676,MXL,AMR
NA19678,MXL,AMR
NA19679,MXL,AMR
NA19681,MXL,AMR
NA19682,MXL,AMR
NA19684,MXL,AMR
NA19716,MXL,AMR
NA19717,MXL,AMR
NA19719,MXL,AMR
NA19720,MXL,AMR
NA19722,MXL,AMR
NA19723,MXL,AMR
NA19725,MXL,AMR
NA19726,MXL,AMR
NA19728,MXL,AMR
NA19729,MXL,AMR
NA19731,MXL,AMR
NA19732,MXL,AMR
NA19734,MXL,AMR
NA19735,MXL,AMR
NA19740,MXL,AMR
NA19741,MXL,AMR
NA19746,MXL,AMR
NA19747,MXL,AMR
NA19749,MXL,AMR
NA19750,MXL,AMR
NA19752,MXL,AMR
NA19755,MXL,AMR
NA19756,MXL,AMR
NA19758,MXL,AMR
NA19759,MXL,AMR
NA19761,MXL,AMR
NA19762,MXL,AMR
NA19764,MXL,AMR
NA19770,MXL,AMR
NA19771,MXL,AMR
NA19773,MXL,AMR
NA19774,MXL,AMR
NA19776,MXL,AMR
NA19777,MXL,AMR
NA19779,MXL,AMR
NA19780,MXL,AMR
NA19782,MXL,AMR
NA19783,MXL,AMR
NA19785,MXL,AMR
NA19786,MXL,AMR
NA19788,MXL,AMR
NA19789,MXL,AMR
NA19792,MXL,AMR
NA19794,MXL,AMR
NA19795,MXL,AMR
HG01565,PEL,AMR
HG01566,PEL,AMR
HG01571,PEL,AMR
HG01572,PEL,AMR
HG01577,PEL,AMR
HG01578,PEL,AMR
HG01892,PEL,AMR
HG01893,PEL,AMR
HG01917,PEL,AMR
HG01918,PEL,AMR
HG01920,PEL,AMR
HG01921,PEL,AMR
HG01923,PEL,AMR
HG01924,PEL,AMR
HG01926,PEL,AMR
HG01927,PEL,AMR
HG01932,PEL,AMR
HG01933,PEL,AMR
HG01935,PEL,AMR
HG01936,PEL,AMR
HG01938,PEL,AMR
HG01939,PEL,AMR
HG01941,PEL,AMR
HG01942,PEL,AMR
HG01944,PEL,AMR
HG01945,PEL,AMR
HG01947,PEL,AMR
HG01948,PEL,AMR
HG01950,PEL,AMR
HG01951,PEL,AMR
HG01953,PEL,AMR
HG01954,PEL,AMR
HG01961,PEL,AMR
HG01965,PEL,AMR
HG01967,PEL,AMR
HG01968,PEL,AMR
HG01970,PEL,AMR
HG01971,PEL,AMR
HG01973,PEL,AMR
HG01974,PEL,AMR
HG01976,PEL,AMR
HG01977,PEL,AMR
HG01979,PEL,AMR
HG01980,PEL,AMR
HG01982,PEL,AMR
HG01991,PEL,AMR
HG01992,PEL,AMR
HG01997,PEL,AMR
HG02002,PEL,AMR
HG02003,PEL,AMR
HG02006,PEL,AMR
HG02008,PEL,AMR
HG02089,PEL,AMR
HG02090,PEL,AMR
HG02102,PEL,AMR
HG02104,PEL,AMR
HG02105,PEL,AMR
HG02146,PEL,AMR
HG02147,PEL,AMR
HG02150,PEL,AMR
HG02252,PEL,AMR
HG02253,PEL,AMR
HG02259,PEL,AMR
HG02260,PEL,AMR
HG02262,PEL,AMR
HG02265,PEL,AMR
HG02266,PEL,AMR
HG02271,PEL,AMR
HG02272,PEL,AMR
HG02274,PEL,AMR
HG02275,PEL,AMR
HG02277,PEL,AMR
HG02278,PEL,AMR
HG02285,PEL,AMR
HG02286,PEL,AMR
HG02291,PEL,AMR
HG02292,PEL,AMR
HG02298,PEL,AMR
HG02299,PEL,AMR
HG02301,PEL,AMR
HG02304,PEL,AMR
HG02312,PEL,AMR
HG02345,PEL,AMR
HG02348,PEL,AMR
HG02425,PEL,AMR
HG00551,PUR,AMR
HG00553,PUR,AMR
HG00554,PUR,AMR
HG00637,PUR,AMR
HG00638,PUR,AMR
HG00640,PUR,AMR
HG00641,PUR,AMR
HG00731,PUR,AMR
HG00732,PUR,AMR
HG00734,PUR,AMR
HG00736,PUR,AMR
HG00737,PUR,AMR
HG00739,PUR,AMR
HG00740,PUR,AMR
HG00742,PUR,AMR
HG00743,PUR,AMR
HG01047,PUR,AMR
HG01048,PUR,AMR
HG01049,PUR,AMR
HG01051,PUR,AMR
HG01052,PUR,AMR
HG01054,PUR,AMR
HG01055,PUR,AMR
HG01058,PUR,AMR
HG01060,PUR,AMR
HG01061,PUR,AMR
HG01063,PUR,AMR
HG01064,PUR,AMR
HG01066,PUR,AMR
HG01067,PUR,AMR
HG01069,PUR,AMR
HG01070,PUR,AMR
HG01072,PUR,AMR
HG01073,PUR,AMR
HG01075,PUR,AMR
HG01077,PUR,AMR
HG01079,PUR,AMR
HG01080,PUR,AMR
HG01082,PUR,AMR
HG01083,PUR,AMR
HG01085,PUR,AMR
HG01086,PUR,AMR
HG01088,PUR,AMR
HG01089,PUR,AMR
HG01092,PUR,AMR
HG01094,PUR,AMR
HG01095,PUR,AMR
HG01097,PUR,AMR
HG01098,PUR,AMR
HG01101,PUR,AMR
HG01102,PUR,AMR
HG01104,PUR,AMR
HG01105,PUR,AMR
HG01107,PUR,AMR
HG01108,PUR,AMR
HG01110,PUR,AMR
HG01111,PUR,AMR
HG01161,PUR,AMR
HG01162,PUR,AMR
HG01164,PUR,AMR
HG01167,PUR,AMR
HG01168,PUR,AMR
HG01170,PUR,AMR
HG01171,PUR,AMR
HG01173,PUR,AMR
HG01174,PUR,AMR
HG01176,PUR,AMR
HG01177,PUR,AMR
HG01182,PUR,AMR
HG01183,PUR,AMR
HG01187,PUR,AMR
HG01188,PUR,AMR
HG01190,PUR,AMR
HG01191,PUR,AMR
HG01197,PUR,AMR
HG01198,PUR,AMR
HG01200,PUR,AMR
HG01204,PUR,AMR
HG01205,PUR,AMR
HG01241,PUR,AMR
HG01242,PUR,AMR
HG01247,PUR,AMR
HG01248,PUR,AMR
HG01286,PUR,AMR
HG01302,PUR,AMR
HG01303,PUR,AMR
HG01305,PUR,AMR
HG01308,PUR,AMR
HG01311,PUR,AMR
HG01312,PUR,AMR
HG01323,PUR,AMR
HG01325,PUR,AMR
HG01326,PUR,AMR
HG01392,PUR,AMR
HG01393,PUR,AMR
HG01395,PUR,AMR
HG01396,PUR,AMR
HG01398,PUR,AMR
HG01402,PUR,AMR
HG01403,PUR,AMR
HG01405,PUR,AMR
HG01412,PUR,AMR
HG01413,PUR,AMR
HG01414,PUR,AMR
HG00759,CDX,EAS
HG00766,CDX,EAS
HG00844,CDX,EAS
HG00851,CDX,EAS
HG00864,CDX,EAS
HG00867,CDX,EAS
HG00879,CDX,EAS
HG00881,CDX,EAS
HG00956,CDX,EAS
HG00978,CDX,EAS
HG00982,CDX,EAS
HG01028,CDX,EAS
HG01029,CDX,EAS
HG01031,CDX,EAS
HG01046,CDX,EAS
HG01794,CDX,EAS
HG01795,CDX,EAS
HG01796,CDX,EAS
HG01797,CDX,EAS
HG01798,CDX,EAS
HG01799,CDX,EAS
HG01800,CDX,EAS
HG01801,CDX,EAS
HG01802,CDX,EAS
HG01804,CDX,EAS
HG01805,CDX,EAS
HG01806,CDX,EAS
HG01807,CDX,EAS
HG01808,CDX,EAS
HG01809,CDX,EAS
HG01810,CDX,EAS
HG01811,CDX,EAS
HG01812,CDX,EAS
HG01813,CDX,EAS
HG01815,CDX,EAS
HG01816,CDX,EAS
HG01817,CDX,EAS
HG02151,CDX,EAS
HG02152,CDX,EAS
HG02153,CDX,EAS
HG02154,CDX,EAS
HG02155,CDX,EAS
HG02156,CDX,EAS
HG02164,CDX,EAS
HG02165,CDX,EAS
HG02166,CDX,EAS
HG02178,CDX,EAS
HG02179,CDX,EAS
HG02180,CDX,EAS
HG02181,CDX,EAS
HG02182,CDX,EAS
HG02184,CDX,EAS
HG02185,CDX,EAS
HG02186,CDX,EAS
HG02187,CDX,EAS
HG02188,CDX,EAS
HG02190,CDX,EAS
HG02250,CDX,EAS
HG02351,CDX,EAS
HG02353,CDX,EAS
HG02355,CDX,EAS
HG02356,CDX,EAS
HG02360,CDX,EAS
HG02364,CDX,EAS
HG02367,CDX,EAS
HG02371,CDX,EAS
